city,city_ascii,state_id,state_name,timezone
Myrtle Beach,Myrtle Beach,SC,South Carolina,America/New_York
Honolulu,Honolulu,HI,Hawaii,Pacific/Honolulu
Anaheim,Anaheim,CA,California,America/Los_Angeles
Greensboro,Greensboro,NC,North Carolina,America/New_York
Corpus Christi,Corpus Christi,TX,Texas,America/Chicago
Fort Wayne,Fort Wayne,IN,Indiana,America/Indiana/Indianapolis
Fort Collins,Fort Collins,CO,Colorado,America/Denver
Antioch,Antioch,CA,California,America/Los_Angeles
Jackson,Jackson,MS,Mississippi,America/Chicago
Henderson,Henderson,NV,Nevada,America/Los_Angeles
Lansing,Lansing,MI,Michigan,America/Detroit
Fayetteville,Fayetteville,NC,North Carolina,America/New_York
Savannah,Savannah,GA,Georgia,America/New_York
Lexington,Lexington,KY,Kentucky,America/New_York
Ann Arbor,Ann Arbor,MI,Michigan,America/Detroit
Poughkeepsie,Poughkeepsie,NY,New York,America/New_York
Mobile,Mobile,AL,Alabama,America/Chicago
Youngstown,Youngstown,OH,Ohio,America/New_York
Santa Ana,Santa Ana,CA,California,America/Los_Angeles
Irvine,Irvine,CA,California,America/Los_Angeles
Newark,Newark,NJ,New Jersey,America/New_York
St. Paul,St. Paul,MN,Minnesota,America/Chicago
Winter Haven,Winter Haven,FL,Florida,America/New_York
Springfield,Springfield,MO,Missouri,America/Chicago
Concord,Concord,NC,North Carolina,America/New_York
Lincoln,Lincoln,NE,Nebraska,America/Chicago
Flint,Flint,MI,Michigan,America/Detroit
Asheville,Asheville,NC,North Carolina,America/New_York
Jersey City,Jersey City,NJ,New Jersey,America/New_York
Santa Rosa,Santa Rosa,CA,California,America/Los_Angeles
Plano,Plano,TX,Texas,America/Chicago
Lakeland,Lakeland,FL,Florida,America/New_York
Anchorage,Anchorage,AK,Alaska,America/Anchorage
Canton,Canton,OH,Ohio,America/New_York
Wilmington,Wilmington,NC,North Carolina,America/New_York
Lubbock,Lubbock,TX,Texas,America/Chicago
Reading,Reading,PA,Pennsylvania,America/New_York
Davenport,Davenport,IA,Iowa,America/Chicago
Gilbert,Gilbert,AZ,Arizona,America/Phoenix
Chandler,Chandler,AZ,Arizona,America/Phoenix
South Bend,South Bend,IN,Indiana,America/Indiana/Indianapolis
North Las Vegas,North Las Vegas,NV,Nevada,America/Los_Angeles
Chula Vista,Chula Vista,CA,California,America/Los_Angeles
Shreveport,Shreveport,LA,Louisiana,America/Chicago
Eugene,Eugene,OR,Oregon,America/Los_Angeles
Rockford,Rockford,IL,Illinois,America/Chicago
Santa Clarita,Santa Clarita,CA,California,America/Los_Angeles
Salem,Salem,OR,Oregon,America/Los_Angeles
Round Lake Beach,Round Lake Beach,IL,Illinois,America/Chicago
Killeen,Killeen,TX,Texas,America/Chicago
St. Petersburg,St. Petersburg,FL,Florida,America/New_York
Tallahassee,Tallahassee,FL,Florida,America/New_York
Kennewick,Kennewick,WA,Washington,America/Los_Angeles
Laredo,Laredo,TX,Texas,America/Chicago
Columbus,Columbus,GA,Georgia,America/New_York
Irving,Irving,TX,Texas,America/Chicago
Peoria,Peoria,IL,Illinois,America/Chicago
Montgomery,Montgomery,AL,Alabama,America/Chicago
Glendale,Glendale,AZ,Arizona,America/Phoenix
Chesapeake,Chesapeake,VA,Virginia,America/New_York
Garland,Garland,TX,Texas,America/Chicago
Gulfport,Gulfport,MS,Mississippi,America/Chicago
York,York,PA,Pennsylvania,America/New_York
Scottsdale,Scottsdale,AZ,Arizona,America/Phoenix
Lafayette,Lafayette,LA,Louisiana,America/Chicago
Nashua,Nashua,NH,New Hampshire,America/New_York
Enterprise,Enterprise,NV,Nevada,America/Los_Angeles
Rock Hill,Rock Hill,SC,South Carolina,America/New_York
Arlington,Arlington,VA,Virginia,America/New_York
Norfolk,Norfolk,VA,Virginia,America/New_York
Fargo,Fargo,ND,North Dakota,America/Chicago
Appleton,Appleton,WI,Wisconsin,America/Chicago
Fremont,Fremont,CA,California,America/Los_Angeles
Clarksville,Clarksville,TN,Tennessee,America/Chicago
Hialeah,Hialeah,FL,Florida,America/New_York
Aguadilla,Aguadilla,PR,Puerto Rico,America/Puerto_Rico
Bremerton,Bremerton,WA,Washington,America/Los_Angeles
Deltona,Deltona,FL,Florida,America/New_York
Brownsville,Brownsville,TX,Texas,America/Chicago
Tacoma,Tacoma,WA,Washington,America/Los_Angeles
San Bernardino,San Bernardino,CA,California,America/Los_Angeles
Green Bay,Green Bay,WI,Wisconsin,America/Chicago
College Station,College Station,TX,Texas,America/Chicago
Frisco,Frisco,TX,Texas,America/Chicago
Spring Valley,Spring Valley,NV,Nevada,America/Los_Angeles
Spartanburg,Spartanburg,SC,South Carolina,America/New_York
Roanoke,Roanoke,VA,Virginia,America/New_York
Olympia,Olympia,WA,Washington,America/Los_Angeles
Gainesville,Gainesville,FL,Florida,America/New_York
Kalamazoo,Kalamazoo,MI,Michigan,America/Detroit
Fontana,Fontana,CA,California,America/Los_Angeles
Hickory,Hickory,NC,North Carolina,America/New_York
Moreno Valley,Moreno Valley,CA,California,America/Los_Angeles
Portland,Portland,ME,Maine,America/New_York
McKinney,McKinney,TX,Texas,America/Chicago
Yonkers,Yonkers,NY,New York,America/New_York
Ocala,Ocala,FL,Florida,America/New_York
Sioux Falls,Sioux Falls,SD,South Dakota,America/Chicago
Thousand Oaks,Thousand Oaks,CA,California,America/Los_Angeles
Amarillo,Amarillo,TX,Texas,America/Chicago
Hagerstown,Hagerstown,MD,Maryland,America/New_York
Evansville,Evansville,IN,Indiana,America/Chicago
Waterbury,Waterbury,CT,Connecticut,America/New_York
Santa Barbara,Santa Barbara,CA,California,America/Los_Angeles
Lorain,Lorain,OH,Ohio,America/New_York
Nampa,Nampa,ID,Idaho,America/Boise
Grand Prairie,Grand Prairie,TX,Texas,America/Chicago
Overland Park,Overland Park,KS,Kansas,America/Chicago
Sunrise Manor,Sunrise Manor,NV,Nevada,America/Los_Angeles
Galveston,Galveston,TX,Texas,America/Chicago
Peoria,Peoria,AZ,Arizona,America/Phoenix
Cedar Rapids,Cedar Rapids,IA,Iowa,America/Chicago
Vancouver,Vancouver,WA,Washington,America/Los_Angeles
Huntington Beach,Huntington Beach,CA,California,America/Los_Angeles
Frederick,Frederick,MD,Maryland,America/New_York
Murfreesboro,Murfreesboro,TN,Tennessee,America/Chicago
Waco,Waco,TX,Texas,America/Chicago
Huntington,Huntington,WV,West Virginia,America/New_York
Glendale,Glendale,CA,California,America/Los_Angeles
Mauldin,Mauldin,SC,South Carolina,America/New_York
Tempe,Tempe,AZ,Arizona,America/Phoenix
Fredericksburg,Fredericksburg,VA,Virginia,America/New_York
Paradise,Paradise,NV,Nevada,America/Los_Angeles
Fort Lauderdale,Fort Lauderdale,FL,Florida,America/New_York
Hemet,Hemet,CA,California,America/Los_Angeles
Erie,Erie,PA,Pennsylvania,America/New_York
Gainesville,Gainesville,GA,Georgia,America/New_York
Newport News,Newport News,VA,Virginia,America/New_York
Gastonia,Gastonia,NC,North Carolina,America/New_York
Spring Hill,Spring Hill,FL,Florida,America/New_York
Ontario,Ontario,CA,California,America/Los_Angeles
Aurora,Aurora,IL,Illinois,America/Chicago
Cary,Cary,NC,North Carolina,America/New_York
Elk Grove,Elk Grove,CA,California,America/Los_Angeles
Panama City,Panama City,FL,Florida,America/Chicago
Rancho Cucamonga,Rancho Cucamonga,CA,California,America/Los_Angeles
High Point,High Point,NC,North Carolina,America/New_York
Danbury,Danbury,CT,Connecticut,America/New_York
Salinas,Salinas,CA,California,America/Los_Angeles
Pembroke Pines,Pembroke Pines,FL,Florida,America/New_York
Vallejo,Vallejo,CA,California,America/Los_Angeles
Oceanside,Oceanside,CA,California,America/Los_Angeles
Leesburg,Leesburg,FL,Florida,America/New_York
Garden Grove,Garden Grove,CA,California,America/Los_Angeles
Muskegon,Muskegon,MI,Michigan,America/Detroit
Medford,Medford,OR,Oregon,America/Los_Angeles
Tuscaloosa,Tuscaloosa,AL,Alabama,America/Chicago
Lancaster,Lancaster,CA,California,America/Los_Angeles
Visalia,Visalia,CA,California,America/Los_Angeles
Manchester,Manchester,NH,New Hampshire,America/New_York
Norwich,Norwich,CT,Connecticut,America/New_York
Bayamón,Bayamon,PR,Puerto Rico,America/Puerto_Rico
Marysville,Marysville,WA,Washington,America/Los_Angeles
Lafayette,Lafayette,IN,Indiana,America/Indiana/Indianapolis
Palmdale,Palmdale,CA,California,America/Los_Angeles
Santa Cruz,Santa Cruz,CA,California,America/Los_Angeles
Odessa,Odessa,TX,Texas,America/Chicago
New Bedford,New Bedford,MA,Massachusetts,America/New_York
Merced,Merced,CA,California,America/Los_Angeles
Corona,Corona,CA,California,America/Los_Angeles
Hayward,Hayward,CA,California,America/Los_Angeles
Paterson,Paterson,NJ,New Jersey,America/New_York
Binghamton,Binghamton,NY,New York,America/New_York
Springfield,Springfield,IL,Illinois,America/Chicago
Alexandria,Alexandria,VA,Virginia,America/New_York
Lakewood,Lakewood,CO,Colorado,America/Denver
Macon,Macon,GA,Georgia,America/New_York
Roseville,Roseville,CA,California,America/Los_Angeles
Kansas City,Kansas City,KS,Kansas,America/Chicago
Hollywood,Hollywood,FL,Florida,America/New_York
Surprise,Surprise,AZ,Arizona,America/Phoenix
Sunnyvale,Sunnyvale,CA,California,America/Los_Angeles
Champaign,Champaign,IL,Illinois,America/Chicago
Lake Charles,Lake Charles,LA,Louisiana,America/Chicago
Burlington,Burlington,NC,North Carolina,America/New_York
Bellevue,Bellevue,WA,Washington,America/Los_Angeles
Fairfield,Fairfield,CA,California,America/Los_Angeles
Naperville,Naperville,IL,Illinois,America/Chicago
Joliet,Joliet,IL,Illinois,America/Chicago
Elkhart,Elkhart,IN,Indiana,America/Indiana/Indianapolis
Escondido,Escondido,CA,California,America/Los_Angeles
Pasadena,Pasadena,TX,Texas,America/Chicago
Mesquite,Mesquite,TX,Texas,America/Chicago
Midland,Midland,TX,Texas,America/Chicago
Columbia,Columbia,MO,Missouri,America/Chicago
Warner Robins,Warner Robins,GA,Georgia,America/New_York
St. George,St. George,UT,Utah,America/Denver
Pomona,Pomona,CA,California,America/Los_Angeles
Topeka,Topeka,KS,Kansas,America/Chicago
Beaumont,Beaumont,TX,Texas,America/Chicago
South Lyon,South Lyon,MI,Michigan,America/Detroit
Yuma,Yuma,AZ,Arizona,America/Phoenix
Olathe,Olathe,KS,Kansas,America/Chicago
Santa Maria,Santa Maria,CA,California,America/Los_Angeles
Thornton,Thornton,CO,Colorado,America/Denver
Athens,Athens,GA,Georgia,America/New_York
Torrance,Torrance,CA,California,America/Los_Angeles
Fullerton,Fullerton,CA,California,America/Los_Angeles
Grand Junction,Grand Junction,CO,Colorado,America/Denver
Greeley,Greeley,CO,Colorado,America/Denver
Metairie,Metairie,LA,Louisiana,America/Chicago
Las Cruces,Las Cruces,NM,New Mexico,America/Denver
Houma,Houma,LA,Louisiana,America/Chicago
Carolina,Carolina,PR,Puerto Rico,America/Puerto_Rico
Miramar,Miramar,FL,Florida,America/New_York
West Valley City,West Valley City,UT,Utah,America/Denver
Orange,Orange,CA,California,America/Los_Angeles
Warren,Warren,MI,Michigan,America/Detroit
Charleston,Charleston,WV,West Virginia,America/New_York
Hampton,Hampton,VA,Virginia,America/New_York
Elizabeth,Elizabeth,NJ,New Jersey,America/New_York
Stamford,Stamford,CT,Connecticut,America/New_York
Pasadena,Pasadena,CA,California,America/Los_Angeles
Racine,Racine,WI,Wisconsin,America/Chicago
Yakima,Yakima,WA,Washington,America/Los_Angeles
Coral Springs,Coral Springs,FL,Florida,America/New_York
Kent,Kent,WA,Washington,America/Los_Angeles
Bellingham,Bellingham,WA,Washington,America/Los_Angeles
Bloomington,Bloomington,IL,Illinois,America/Chicago
Tyler,Tyler,TX,Texas,America/Chicago
Carrollton,Carrollton,TX,Texas,America/Chicago
Sterling Heights,Sterling Heights,MI,Michigan,America/Detroit
Iowa City,Iowa City,IA,Iowa,America/Chicago
Lehigh Acres,Lehigh Acres,FL,Florida,America/New_York
Johnson City,Johnson City,TN,Tennessee,America/New_York
Coeur d'Alene,Coeur d'Alene,ID,Idaho,America/Los_Angeles
Dover,Dover,DE,Delaware,America/New_York
Lewisville,Lewisville,TX,Texas,America/Chicago
Santa Clara,Santa Clara,CA,California,America/Los_Angeles
Meridian,Meridian,ID,Idaho,America/Boise
Temple,Temple,TX,Texas,America/Chicago
Norman,Norman,OK,Oklahoma,America/Chicago
Kailua,Kailua,HI,Hawaii,Pacific/Honolulu
Billings,Billings,MT,Montana,America/Denver
Arecibo,Arecibo,PR,Puerto Rico,America/Puerto_Rico
Abilene,Abilene,TX,Texas,America/Chicago
Round Rock,Round Rock,TX,Texas,America/Chicago
Greenville,Greenville,NC,North Carolina,America/New_York
Pearland,Pearland,TX,Texas,America/Chicago
Simi Valley,Simi Valley,CA,California,America/Los_Angeles
Kenosha,Kenosha,WI,Wisconsin,America/Chicago
Lynchburg,Lynchburg,VA,Virginia,America/New_York
Waldorf,Waldorf,MD,Maryland,America/New_York
Clovis,Clovis,CA,California,America/Los_Angeles
Yuba City,Yuba City,CA,California,America/Los_Angeles
Seaside,Seaside,CA,California,America/Los_Angeles
Logan,Logan,UT,Utah,America/Denver
Fort Smith,Fort Smith,AR,Arkansas,America/Chicago
Rochester,Rochester,MN,Minnesota,America/Chicago
Burlington,Burlington,VT,Vermont,America/New_York
Arvada,Arvada,CO,Colorado,America/Denver
Mandeville,Mandeville,LA,Louisiana,America/Chicago
West Palm Beach,West Palm Beach,FL,Florida,America/New_York
Pueblo,Pueblo,CO,Colorado,America/Denver
Independence,Independence,MO,Missouri,America/Chicago
Monroe,Monroe,LA,Louisiana,America/Chicago
The Woodlands,The Woodlands,TX,Texas,America/Chicago
Boulder,Boulder,CO,Colorado,America/Denver
Berkeley,Berkeley,CA,California,America/Los_Angeles
North Charleston,North Charleston,SC,South Carolina,America/New_York
Brandon,Brandon,FL,Florida,America/New_York
Waterloo,Waterloo,IA,Iowa,America/Chicago
Duluth,Duluth,MN,Minnesota,America/Chicago
Cambridge,Cambridge,MA,Massachusetts,America/New_York
Richardson,Richardson,TX,Texas,America/Chicago
Lowell,Lowell,MA,Massachusetts,America/New_York
Broken Arrow,Broken Arrow,OK,Oklahoma,America/Chicago
Utica,Utica,NY,New York,America/New_York
Redding,Redding,CA,California,America/Los_Angeles
Clearwater,Clearwater,FL,Florida,America/New_York
St. Cloud,St. Cloud,MN,Minnesota,America/Chicago
Harlingen,Harlingen,TX,Texas,America/Chicago
Gilroy,Gilroy,CA,California,America/Los_Angeles
West Jordan,West Jordan,UT,Utah,America/Denver
League City,League City,TX,Texas,America/Chicago
Port Arthur,Port Arthur,TX,Texas,America/Chicago
Richmond,Richmond,CA,California,America/Los_Angeles
Westminster,Westminster,CO,Colorado,America/Denver
Elgin,Elgin,IL,Illinois,America/Chicago
Carlsbad,Carlsbad,CA,California,America/Los_Angeles
Pompano Beach,Pompano Beach,FL,Florida,America/New_York
Riverview,Riverview,FL,Florida,America/New_York
Miami Gardens,Miami Gardens,FL,Florida,America/New_York
Bend,Bend,OR,Oregon,America/Los_Angeles
Sioux City,Sioux City,IA,Iowa,America/Chicago
Gresham,Gresham,OR,Oregon,America/Los_Angeles
Murrieta,Murrieta,CA,California,America/Los_Angeles
Saginaw,Saginaw,MI,Michigan,America/Detroit
Everett,Everett,WA,Washington,America/Los_Angeles
East Los Angeles,East Los Angeles,CA,California,America/Los_Angeles
Jacksonville,Jacksonville,NC,North Carolina,America/New_York
Ponce,Ponce,PR,Puerto Rico,America/Puerto_Rico
Temecula,Temecula,CA,California,America/Los_Angeles
Idaho Falls,Idaho Falls,ID,Idaho,America/Boise
Downey,Downey,CA,California,America/Los_Angeles
South Fulton,South Fulton,GA,Georgia,America/New_York
Costa Mesa,Costa Mesa,CA,California,America/Los_Angeles
Menifee,Menifee,CA,California,America/Los_Angeles
Allen,Allen,TX,Texas,America/Chicago
Sparks,Sparks,NV,Nevada,America/Los_Angeles
Leominster,Leominster,MA,Massachusetts,America/New_York
Sugar Land,Sugar Land,TX,Texas,America/Chicago
Eau Claire,Eau Claire,WI,Wisconsin,America/Chicago
San Buenaventura,San Buenaventura,CA,California,America/Los_Angeles
San Tan Valley,San Tan Valley,AZ,Arizona,America/Phoenix
Auburn,Auburn,AL,Alabama,America/Chicago
Rio Rancho,Rio Rancho,NM,New Mexico,America/Denver
Davie,Davie,FL,Florida,America/New_York
Chico,Chico,CA,California,America/Los_Angeles
Hillsboro,Hillsboro,OR,Oregon,America/Los_Angeles
Centennial,Centennial,CO,Colorado,America/Denver
Bloomington,Bloomington,IN,Indiana,America/Indiana/Indianapolis
Goodyear,Goodyear,AZ,Arizona,America/Phoenix
Dearborn,Dearborn,MI,Michigan,America/Detroit
Holland,Holland,MI,Michigan,America/Detroit
Sandy Springs,Sandy Springs,GA,Georgia,America/New_York
West Covina,West Covina,CA,California,America/Los_Angeles
Jurupa Valley,Jurupa Valley,CA,California,America/Los_Angeles
Bowling Green,Bowling Green,KY,Kentucky,America/Chicago
Longview,Longview,TX,Texas,America/Chicago
Spokane Valley,Spokane Valley,WA,Washington,America/Los_Angeles
El Monte,El Monte,CA,California,America/Los_Angeles
Brockton,Brockton,MA,Massachusetts,America/New_York
Renton,Renton,WA,Washington,America/Los_Angeles
Buckeye,Buckeye,AZ,Arizona,America/Phoenix
New Braunfels,New Braunfels,TX,Texas,America/Chicago
Inglewood,Inglewood,CA,California,America/Los_Angeles
Edinburg,Edinburg,TX,Texas,America/Chicago
Burbank,Burbank,CA,California,America/Los_Angeles
El Cajon,El Cajon,CA,California,America/Los_Angeles
Columbia,Columbia,MD,Maryland,America/New_York
Rialto,Rialto,CA,California,America/Los_Angeles
Portsmouth,Portsmouth,NH,New Hampshire,America/New_York
Lee's Summit,Lee's Summit,MO,Missouri,America/Chicago
Kingsport,Kingsport,TN,Tennessee,America/New_York
Charlottesville,Charlottesville,VA,Virginia,America/New_York
San Mateo,San Mateo,CA,California,America/Los_Angeles
Vacaville,Vacaville,CA,California,America/Los_Angeles
Wichita Falls,Wichita Falls,TX,Texas,America/Chicago
Longmont,Longmont,CO,Colorado,America/Denver
Conroe,Conroe,TX,Texas,America/Chicago
Fishers,Fishers,IN,Indiana,America/Indiana/Indianapolis
Highlands Ranch,Highlands Ranch,CO,Colorado,America/Denver
Quincy,Quincy,MA,Massachusetts,America/New_York
Daly City,Daly City,CA,California,America/Los_Angeles
Lynn,Lynn,MA,Massachusetts,America/New_York
Carmel,Carmel,IN,Indiana,America/Indiana/Indianapolis
Hesperia,Hesperia,CA,California,America/Los_Angeles
Bismarck,Bismarck,ND,North Dakota,America/Chicago
Santa Fe,Santa Fe,NM,New Mexico,America/Denver
Boca Raton,Boca Raton,FL,Florida,America/New_York
Norwalk,Norwalk,CA,California,America/Los_Angeles
San Angelo,San Angelo,TX,Texas,America/Chicago
Lafayette,Lafayette,CO,Colorado,America/Denver
Federal Way,Federal Way,WA,Washington,America/Los_Angeles
Atascocita,Atascocita,TX,Texas,America/Chicago
Vista,Vista,CA,California,America/Los_Angeles
Prescott Valley,Prescott Valley,AZ,Arizona,America/Phoenix
Suffolk,Suffolk,VA,Virginia,America/New_York
Palm Coast,Palm Coast,FL,Florida,America/New_York
Williamsburg,Williamsburg,VA,Virginia,America/New_York
Sunrise,Sunrise,FL,Florida,America/New_York
Beaverton,Beaverton,OR,Oregon,America/Los_Angeles
Middletown,Middletown,OH,Ohio,America/New_York
Lawrence,Lawrence,KS,Kansas,America/Chicago
La Crosse,La Crosse,WI,Wisconsin,America/Chicago
Portsmouth,Portsmouth,VA,Virginia,America/New_York
Orem,Orem,UT,Utah,America/Denver
Tracy,Tracy,CA,California,America/Los_Angeles
Edmond,Edmond,OK,Oklahoma,America/Chicago
Plantation,Plantation,FL,Florida,America/New_York
Fort Myers,Fort Myers,FL,Florida,America/New_York
Arden-Arcade,Arden-Arcade,CA,California,America/Los_Angeles
San Marcos,San Marcos,CA,California,America/Los_Angeles
San Germán,San German,PR,Puerto Rico,America/Puerto_Rico
Sandy,Sandy,UT,Utah,America/Denver
Manteca,Manteca,CA,California,America/Los_Angeles
Fall River,Fall River,MA,Massachusetts,America/New_York
Mount Pleasant,Mount Pleasant,SC,South Carolina,America/New_York
Livonia,Livonia,MI,Michigan,America/Detroit
O'Fallon,O'Fallon,MO,Missouri,America/Chicago
Rapid City,Rapid City,SD,South Dakota,America/Denver
Carson,Carson,CA,California,America/Los_Angeles
Compton,Compton,CA,California,America/Los_Angeles
Chino,Chino,CA,California,America/Los_Angeles
Hoover,Hoover,AL,Alabama,America/Chicago
Roswell,Roswell,GA,Georgia,America/New_York
Kirkland,Kirkland,WA,Washington,America/Los_Angeles
Avondale,Avondale,AZ,Arizona,America/Phoenix
Alafaya,Alafaya,FL,Florida,America/New_York
Norwalk,Norwalk,CT,Connecticut,America/New_York
South Gate,South Gate,CA,California,America/Los_Angeles
Santa Monica,Santa Monica,CA,California,America/Los_Angeles
Slidell,Slidell,LA,Louisiana,America/Chicago
Florence,Florence,SC,South Carolina,America/New_York
Germantown,Germantown,MD,Maryland,America/New_York
Lawton,Lawton,OK,Oklahoma,America/Chicago
Missoula,Missoula,MT,Montana,America/Denver
Mayagüez,Mayaguez,PR,Puerto Rico,America/Puerto_Rico
Westminster,Westminster,CA,California,America/Los_Angeles
Joplin,Joplin,MO,Missouri,America/Chicago
Clifton,Clifton,NJ,New Jersey,America/New_York
